,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens,kmeans_numeric,kmeans_dens_2
135,120.0,179,0.0,0.0,2008-0042-001-05,,180,250,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.4,"0,35",0.5,0.6,"0,55",22.0,13.0,0.35,0.55,1.69,1.69,1,0,1
136,121.0,179,0.0,0.0,2008-0042-001-06,,200,300,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,"0,65",0.4,0.6,"0,5",13.0,8.0,0.65,0.5,1.62,1.62,0,1,0
137,,181-183,,,2008-0028-010-02,,200,30,n_band,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.2,0.3,,0.2,0.3,,10.0,8.0,0.25,0.25,1.25,1.25,0,1,0
138,,181-183,,,2008-0028-010-03,,120,38,textile,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.3,0.4,,0.3,0.4,,14.0,9.0,0.35,0.35,1.56,1.56,0,1,0
139,122.0,181-183,0.0,1.0,2008-0028-010-01,,250,35,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,uneven,,,,0.3,0.4,"0,35",0.2,0.6,"0,4",22.0,9.0,0.35,0.4,2.44,2.44,1,0,1
140,123.0,181-183,0.0,1.0,2008-0028-010-04,,110,65,m_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",20.0,12.0,0.5,0.4,1.67,1.67,0,1,0
141,124.0,182,0.0,1.0,2008-0028-005-01,,860,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",30.0,10.0,0.3,0.5,3.0,3.0,1,0,1
142,125.0,182,0.0,1.0,2008-0028-005-02,,1100,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,10.0,0.3,0.5,3.2,3.2,1,0,1
143,126.0,182,0.0,1.0,2008-0028-005-03,,100,100,f_overlay,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,"0,35",0.2,0.5,,26.0,9.0,0.35,0.35,2.89,2.89,1,0,1
144,127.0,182,0.0,1.0,2008-0028-005-04,,20,200,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",30.0,8.0,0.3,0.5,3.75,3.75,1,0,1
145,127.0,182,0.0,,2008-0028-005-04,,200,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",30.0,8.0,0.3,0.5,3.75,3.75,1,0,1
146,128.0,182,0.0,1.0,2008-0028-005-05,,50,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
147,128.0,182,0.0,,2008-0028-005-05,,80,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
148,128.0,182,0.0,,2008-0028-005-05,,40,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
149,128.0,182,0.0,,2008-0028-005-05,,20,20,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
150,129.0,182,0.0,1.0,2008-0028-005-06,,100,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.6,"0,55",22.0,9.0,0.45,0.55,2.44,2.44,1,0,1
151,130.0,182,0.0,1.0,2008-0028-005-07,,60,20,n_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",12.0,6.0,0.5,0.5,2.0,2.0,0,1,0
152,131.0,182,0.0,1.0,2008-0028-005-08,,220,120,w_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.4,"0,35",24.0,10.0,0.4,0.35,2.4,2.4,1,0,1
153,131.0,182,0.0,,2008-0028-005-08,,130,100,w_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.4,"0,35",24.0,10.0,0.4,0.35,2.4,2.4,1,0,1
154,132.0,182,0.0,1.0,2008-0028-005-09,,150,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",28.0,9.0,0.5,0.45,3.11,3.11,1,0,1
155,132.0,182,0.0,,2008-0028-005-09,,150,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",28.0,9.0,0.5,0.45,3.11,3.11,1,0,1
156,132.0,182,0.0,,2008-0028-005-09,,60,55,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",28.0,9.0,0.5,0.45,3.11,3.11,1,0,1
157,132.0,182,0.0,,2008-0028-005-09,,70,60,m_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",28.0,9.0,0.5,0.45,3.11,3.11,1,0,1
158,132.0,182,0.0,,2008-0028-005-09,,50,50,m_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",28.0,9.0,0.5,0.45,3.11,3.11,1,0,1
159,133.0,182,0.0,1.0,2008-0028-005-10,,140,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
160,133.0,182,0.0,,2008-0028-005-10,,160,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
161,133.0,182,0.0,,2008-0028-005-10,,70,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,"0,45",0.5,0.8,"0,65",28.0,8.0,0.45,0.65,3.5,3.5,1,0,1
162,134.0,182,0.0,1.0,2008-0028-005-11,,940,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",30.0,12.0,0.3,0.5,2.5,2.5,1,0,1
163,135.0,182,0.0,1.0,2008-0028-005-12,,250,130,f_strip,0,mono,fragment,,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.5,"0,45",0.3,0.6,"0,45",20.0,8.0,0.45,0.45,2.5,2.5,0,1,0
164,136.0,182,0.0,1.0,2008-0028-005-13,,300,100,w_band,1,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",30.0,10.0,0.3,0.5,3.0,3.0,1,0,1
165,136.0,182,0.0,,2008-0028-005-13,,400,20,n_band,2,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,,0.4,0.6,,30.0,10.0,0.3,0.5,3.0,3.0,1,0,1
167,138.0,182,0.0,1.0,2008-0028-005-15,,150,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",20.0,8.0,0.4,0.5,2.5,2.5,0,1,0
168,,185,0.0,1.0,2008-0037-009-01,,180,300,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,0.2,0.5,,0.2,0.5,,9.0,7.0,0.35,0.35,1.29,1.29,0,1,0
169,,185,0.0,1.0,2008-0037-009-02,,640,38,n_band,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,0.4,0.5,,0.4,0.5,,10.0,8.0,0.45,0.45,1.25,1.25,0,1,0
172,141.0,185,0.0,1.0,2008-0037-009-05,,200,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.5,"0,4",32.0,10.0,0.45,0.4,3.2,3.2,1,0,1
173,142.0,189,0.0,0.0,2008-0060-001-01,,160,90,funeral_shroud,1,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,"0,35",0.4,0.5,"0,45",18.0,10.0,0.35,0.45,1.8,1.8,0,1,0
174,142.0,189,0.0,,2008-0060-001-01,,120,80,funeral_shroud,2,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,"0,35",0.4,0.5,"0,45",18.0,10.0,0.35,0.45,1.8,1.8,0,1,0
175,142.0,189,0.0,,2008-0060-001-01,,110,100,funeral_shroud,3,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.4,"0,35",0.4,0.5,"0,45",18.0,10.0,0.35,0.45,1.8,1.8,0,1,0
176,143.0,189,0.0,0.0,2008-0060-001-02,,320,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.8,"0,6",14.0,10.0,0.5,0.6,1.4,1.4,0,1,0
177,144.0,189,0.0,0.0,2008-0060-001-03,,75,35,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,"0,7",0.5,0.9,"0,7",10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
178,144.0,189,0.0,,2008-0060-001-03,,120,35,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,"0,7",0.5,0.9,"0,7",10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
179,144.0,189,0.0,,2008-0060-001-03,,25,35,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,"0,7",0.5,0.9,"0,7",10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
180,145.0,189,0.0,0.0,2008-0060-001-04,,100,15,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,"0,85",0.5,0.8,"0,65",14.0,8.0,0.85,0.65,1.75,1.75,0,1,0
181,145.0,189,0.0,,2008-0060-001-04,,100,15,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,"0,85",0.5,0.8,"0,65",14.0,8.0,0.85,0.65,1.75,1.75,0,1,0
182,,189,0.0,0.0,2008-0061-001-02,,320,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,,0.4,0.8,,14.0,10.0,0.5,0.6,1.4,1.4,0,1,0
183,,189,0.0,0.0,2008-0061-001-03,,75,35,n_band,1,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,,0.5,0.9,,10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
184,,189,0.0,0.0,2008-0061-001-03,,120,35,n_band,2,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,,0.5,0.9,,10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
185,,189,0.0,0.0,2008-0061-001-03,,25,35,n_band,3,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,,0.5,0.9,,10.0,8.0,0.7,0.7,1.25,1.25,0,1,0
186,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,1,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,,0.5,0.8,,14.0,8.0,0.85,0.65,1.75,1.75,0,1,0
187,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,2,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,,0.5,0.8,,14.0,8.0,0.85,0.65,1.75,1.75,0,1,0
188,146.0,191,0.0,1.0,2008-0040-004,,220,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.2,0.4,"0,3",32.0,12.0,0.4,0.3,2.67,2.67,1,0,1
189,147.0,191,0.0,1.0,2008-0040-005,,150,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",16.0,12.0,0.45,0.45,1.33,1.33,0,1,0
190,148.0,191,0.0,1.0,2008-0040-007,,180,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",16.0,8.0,0.5,0.65,2.0,2.0,0,1,0
191,,191,0.0,1.0,2008-0040-008,,220,200,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,,0.4,0.5,,15.0,10.0,0.45,0.45,1.5,1.5,0,1,0
192,149.0,193,0.0,0.0,2008-0058-001-01,,55,15,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",10.0,8.0,0.65,0.65,1.25,1.25,0,1,0
194,151.0,196-197,0.0,1.0,2008-0049-001-01,,40,190,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.4,0.5,"0,45",16.0,9.0,0.35,0.45,1.78,1.78,0,1,0
195,152.0,196-197,0.0,1.0,2008-0049-001-02,,70,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.8,"0,55",28.0,10.0,0.4,0.55,2.8,2.8,1,0,1
196,153.0,196-197,0.0,1.0,2008-0049-001-03,,50,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.8,"0,55",28.0,10.0,0.4,0.55,2.8,2.8,1,0,1
197,154.0,196,3.0,0.0,2008-0070-003-02,,90,90,filling,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",30.0,12.0,0.35,0.35,2.5,2.5,1,0,1
198,155.0,196,3.0,0.0,2008-0070-003-03,,110,20,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",26.0,12.0,0.25,0.35,2.17,2.17,1,0,1
200,157.0,196,3.0,0.0,2008-0070-003-05,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.5,"0,4",0.4,0.5,"0,45",32.0,8.0,0.4,0.45,4.0,4.0,1,0,1
201,,196,3.0,0.0,2008-0070-003-06,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,,0.5,0.6,,10.0,10.0,0.55,0.55,1.0,1.0,0,1,0
202,,196,3.0,0.0,2008-0070-003-07,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,,0.2,0.6,,14.0,7.0,0.4,0.4,2.0,2.0,0,1,0
203,158.0,196,3.0,0.0,2008-0070-003-08,,160,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",26.0,9.0,0.4,0.5,2.89,2.89,1,0,1
204,159.0,196,3.0,0.0,2008-0070-003-09,,240,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,8.0,0.4,0.4,2.75,2.75,1,0,1
205,160.0,196,3.0,0.0,2008-0070-003-10,,220,105,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.5,"0,45",30.0,9.0,0.5,0.45,3.33,3.33,1,0,1
206,161.0,196,3.0,0.0,2008-0070-003-11,,300,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.4,"0,35",24.0,12.0,0.4,0.35,2.0,2.0,1,0,1
207,162.0,196,3.0,0.0,2008-0070-003-12,,220,150,textile,1,composite,fragment,basket_weave,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.2,0.5,"0,35",24.0,10.0,0.35,0.35,2.4,2.4,1,0,1
209,162.0,196,3.0,0.0,2008-0070-003-12,,30,50,patch_fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,,0.4,0.5,,18.0,8.0,0.45,0.45,2.25,2.25,0,1,0
210,,196,3.0,0.0,2008-0070-003-13,,70,110,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,,0.4,0.6,,17.0,9.0,0.5,0.5,1.89,1.89,0,1,0
212,164.0,196,3.0,0.0,2008-0070-003-15,,200,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.2,0.5,"0,35",0.4,0.6,"0,5",32.0,8.0,0.35,0.5,4.0,4.0,1,0,1
214,166.0,196,3.0,0.0,2008-0070-003-17,,120,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.7,"0,55",24.0,9.0,0.35,0.55,2.67,2.67,1,0,1
215,167.0,196,3.0,0.0,2008-0070-003-18,,520,165,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.3,0.5,"0,4",26.0,9.0,0.55,0.4,2.89,2.89,1,0,1
216,168.0,196,3.0,0.0,2008-0070-003-19,,100,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",32.0,10.0,0.45,0.45,3.2,3.2,1,0,1
217,169.0,196,3.0,0.0,2008-0070-003-20,,160,95,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.7,"0,6",0.4,0.5,"0,45",20.0,12.0,0.6,0.45,1.67,1.67,0,1,0
218,170.0,196,3.0,0.0,2008-0070-003-21,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,Z,Z,medium,medium,,,,0.6,1.2,"0,9",0.6,1.2,"0,9",12.0,4.0,0.9,0.9,3.0,3.0,0,1,0
219,,196,3.0,0.0,2008-0070-003-22,,130,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,,0.3,0.5,,12.0,10.0,0.4,0.4,1.2,1.2,0,1,0
221,172.0,196,3.0,0.0,2008-0070-003-24,,80,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.5,"0,45",24.0,10.0,0.5,0.45,2.4,2.4,1,0,1
224,,200,3.0,0.0,2008-0118-002,,140,35,n_band,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,,0.3,0.4,,10.0,7.0,0.35,0.35,1.43,1.43,0,1,0
225,,200,3.0,0.0,2008-0118-002,,100,35,n_band,2,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,,0.3,0.4,,10.0,7.0,0.35,0.35,1.43,1.43,0,1,0
226,,200,3.0,0.0,2008-0118-002,,50,35,n_band,3,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,,0.3,0.4,,10.0,7.0,0.35,0.35,1.43,1.43,0,1,0
227,,200,3.0,0.0,2008-0118-002,,150,35,n_band,4,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,,0.3,0.4,,10.0,7.0,0.35,0.35,1.43,1.43,0,1,0
228,175.0,200,0.0,1.0,2008-0118-003,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.6,"0,5",26.0,10.0,0.35,0.5,2.6,2.6,1,0,1
229,,200,0.0,1.0,2008-0118-005,,180,40,textile,0,mono,fragment,half-basket,linen,linen,no,no,S,S,uneven,uneven,,,,0.8,1.5,,1.2,2.0,,4.0,3.0,1.15,1.6,1.33,1.33,0,1,0
231,177.0,200,0.0,1.0,2008-0118-007,,106,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.5,"0,45",30.0,10.0,0.4,0.45,3.0,3.0,1,0,1
232,178.0,200,0.0,1.0,2008-0118-008,,410,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.6,"0,5",21.0,7.0,0.45,0.5,3.0,3.0,0,1,0
233,178.0,200,0.0,,2008-0118-008,,140,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.6,"0,5",21.0,7.0,0.45,0.5,3.0,3.0,0,1,0
234,179.0,200,0.0,1.0,2008-0118-009,,230,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.6,"0,5",32.0,10.0,0.45,0.5,3.2,3.2,1,0,1
235,179.0,200,0.0,,2008-0118-009,,140,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.6,"0,5",32.0,10.0,0.45,0.5,3.2,3.2,1,0,1
236,180.0,200,0.0,1.0,2008-0118-010,,100,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.5,"0,45",24.0,12.0,0.45,0.45,2.0,2.0,1,0,1
237,180.0,200,0.0,,2008-0118-010,,105,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.5,"0,45",24.0,12.0,0.45,0.45,2.0,2.0,1,0,1
238,180.0,200,0.0,,2008-0118-010,,95,50,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.4,0.5,"0,45",24.0,12.0,0.45,0.45,2.0,2.0,1,0,1
239,181.0,200,0.0,1.0,2008-0118-011,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",32.0,11.0,0.35,0.35,2.91,2.91,1,0,1
240,182.0,208,1.0,0.0,2008-0102-003-02,,180,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.6,"0,45",1.0,1.5,"1,25",10.0,6.0,0.45,1.25,1.67,1.67,0,1,0
241,183.0,209,0.0,1.0,2008-0121-004-07,,40,15,textile,0,mono,fragment,tabby,linen,linen,red-brown,red-brown,S,S,medium,medium,,,,0.4,0.8,"0,6",0.4,1.2,"0,8",12.0,6.0,0.6,0.8,2.0,2.0,0,1,0
242,184.0,211,1.0,0.0,2008-0134-001,,150,120,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.5,"0,45",22.0,10.0,0.4,0.45,2.2,2.2,1,0,1
243,184.0,211,1.0,,2008-0134-001,,200,180,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.5,"0,45",22.0,10.0,0.4,0.45,2.2,2.2,1,0,1
244,185.0,211,1.0,0.0,2008-0134-001-01,,430,440,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",17.0,11.0,0.5,0.5,1.55,1.55,0,1,0
245,186.0,211,1.0,0.0,2008-0134-001-02,,600,30,n_band,1,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
246,186.0,211,1.0,,2008-0134-001-02,,640,30,n_band,2,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
247,186.0,211,1.0,,2008-0134-001-02,,720,30,n_band,3,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
248,186.0,211,1.0,,2008-0134-001-02,,440,20,n_band,4,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
249,186.0,211,1.0,,2008-0134-001-02,,450,20,n_band,5,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
250,186.0,211,1.0,,2008-0134-001-02,,700,30,n_band,6,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.6,"0,45",20.0,10.0,0.5,0.45,2.0,2.0,0,1,0
251,187.0,211,1.0,0.0,2008-0134-001-03,,480,90,funeral_shroud,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",18.0,12.0,0.5,0.4,1.5,1.5,0,1,0
252,188.0,211,1.0,0.0,2008-0134-001-04,,750,90,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
253,188.0,211,1.0,,2008-0134-001-04,,400,40,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
254,188.0,211,1.0,,2008-0134-001-04,,480,40,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
255,188.0,211,1.0,,2008-0134-001-04,,160,40,m_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
256,188.0,211,1.0,,2008-0134-001-04,,120,40,m_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
257,188.0,211,1.0,,2008-0134-001-04,,90,40,m_band,6,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",17.0,9.0,0.45,0.45,1.89,1.89,0,1,0
