,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens,kmeans_numeric,kmeans_dens_2
26,26.0,97,0.0,0.0,2007-0084-002,,90,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",14.0,10.0,0.65,0.65,1.4,1.4,0,1,0
27,27.0,97,0.0,0.0,2007-0084-003,,70,12,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.2,"0,9",10.0,7.0,0.65,0.9,1.43,1.43,0,1,0
28,28.0,107,0.0,0.0,2007-0040,,110,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.0,"0,8",12.0,8.0,0.65,0.8,1.5,1.5,0,1,0
29,29.0,108,0.0,0.0,2007-0047-001,,120,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.7,0.8,"0,75",16.0,12.0,0.45,0.75,1.33,1.33,0,1,0
31,31.0,126,0.0,1.0,2007- 0077-001,,720,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,1.0,"0,75",0.8,1.0,"0,9",13.0,8.0,0.75,0.9,1.62,1.62,0,1,0
32,32.0,126,0.0,1.0,2007- 0077-004,,120,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,"0,35",0.4,0.6,"0,5",24.0,10.0,0.35,0.5,2.4,2.4,1,0,1
33,33.0,126,0.0,1.0,2007- 0077-005,,130,60,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.2,0.5,"0,35",0.4,0.5,"0,45",23.0,12.0,0.35,0.45,1.92,1.92,1,0,1
34,34.0,133,0.0,0.0,2010- 0001-001,,200,260,sewn_ item,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",12.0,8.0,0.55,0.55,1.5,1.5,0,1,0
36,35.0,133,0.0,0.0,2010- 0001-002,,140,45,band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,1.0,"0,8",12.0,10.0,0.7,0.8,1.2,1.2,0,1,0
39,38.0,133,0.0,0.0,2008-0036-001-02,,60,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",24.0,10.0,0.45,0.45,2.4,2.4,1,0,1
41,40.0,133,0.0,0.0,2008-0036-001-04,,20,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",24.0,10.0,0.4,0.4,2.4,2.4,1,0,1
42,41.0,133,0.0,0.0,2008-0036-001-05,,15,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,12.0,0.4,0.4,1.83,1.83,1,0,1
46,43.0,133,0.0,0.0,2008-0036-001-08,,20,40,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",32.0,12.0,0.35,0.35,2.67,2.67,1,0,1
48,45.0,133,0.0,0.0,2008-0036-002,,убрать эту запись!!!!,0,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.5,"0,4",0.3,0.6,"0,45",12.0,8.0,0.4,0.45,1.5,1.5,0,1,0
49,46.0,133,0.0,0.0,2008-0036-002,,230,130,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",12.0,10.0,0.25,0.35,1.2,1.2,0,1,0
50,47.0,137,0.0,0.0,2007-0039-001,,130,130,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",17.0,10.0,0.55,0.55,1.7,1.7,0,1,0
51,48.0,137,0.0,0.0,2007-0039-002,,160,130,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.5,0.6,"0,55",0.5,0.8,"0,65",18.0,9.0,0.55,0.65,2.0,2.0,0,1,0
52,49.0,137,0.0,0.0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,"0,65",0.4,0.8,"0,6",28.0,9.0,0.65,0.6,3.11,3.11,1,0,1
