,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,thick_coef,dens_coef
32,32.0,126,0.0,1.0,2007- 0077-004,,120,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,0.35,0.4,0.6,0.5,24.0,10.0,0.35,0.5,0.7,2.4
33,33.0,126,0.0,1.0,2007- 0077-005,,130,60,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.2,0.5,0.35,0.4,0.5,0.45,23.0,12.0,0.35,0.45,0.78,1.92
34,34.0,133,0.0,0.0,2010- 0001-001,,200,260,sewn_ item,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,12.0,8.0,0.55,0.55,1.0,1.5
35,34.0,133,0.0,0.0,2010- 0001-001,,100,70,sewn_item,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.2,0.25,0.3,0.4,0.35,36.0,13.0,0.2,0.35,0.57,2.77
36,35.0,133,0.0,0.0,2010- 0001-002,,140,45,band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,1.0,0.8,12.0,10.0,0.7,0.8,0.87,1.2
37,36.0,133,0.0,0.0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,14.0,0.3,0.5,0.6,2.29
38,37.0,133,0.0,0.0,2008-0036-001-01,,6,14,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,0.5,0.4,0.5,0.45,14.0,16.0,0.5,0.45,1.11,0.88
39,38.0,133,0.0,0.0,2008-0036-001-02,,60,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.4,0.5,0.45,24.0,10.0,0.45,0.45,1.0,2.4
40,39.0,133,0.0,0.0,2008-0036-001-03,,12,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.6,0.45,36.0,14.0,0.4,0.45,0.89,2.57
41,40.0,133,0.0,0.0,2008-0036-001-04,,20,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,24.0,10.0,0.4,0.4,1.0,2.4
42,41.0,133,0.0,0.0,2008-0036-001-05,,15,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,22.0,12.0,0.4,0.4,1.0,1.83
43,42.0,133,0.0,0.0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.2,0.4,0.3,36.0,14.0,0.3,0.3,1.0,2.57
44,42.0,133,0.0,0.0,2008-0036-001-06,,20,15,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.2,0.4,0.3,36.0,14.0,0.3,0.3,1.0,2.57
45,42.0,133,0.0,0.0,2008-0036-001-06,,14,25,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.2,0.4,0.3,36.0,14.0,0.3,0.3,1.0,2.57
46,43.0,133,0.0,0.0,2008-0036-001-08,,20,40,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,32.0,12.0,0.35,0.35,1.0,2.67
47,44.0,133,0.0,0.0,2008-0036-001-09,,10,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,0.3,0.2,0.3,0.25,40.0,14.0,0.3,0.25,1.2,2.86
48,46.0,133,0.0,0.0,2008-0036-002,,230,130,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,12.0,10.0,0.25,0.35,0.71,1.2
49,47.0,137,0.0,0.0,2007-0039-001,,130,130,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,17.0,10.0,0.55,0.55,1.0,1.7
50,48.0,137,0.0,0.0,2007-0039-002,,160,130,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.5,0.6,0.55,0.5,0.8,0.65,18.0,9.0,0.55,0.65,0.85,2.0
51,49.0,137,0.0,0.0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,0.65,0.4,0.8,0.6,28.0,9.0,0.65,0.6,1.08,3.11
52,50.0,140,2.0,0.0,2007-0041-001,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,0.45,0.5,0.6,0.55,28.0,12.0,0.45,0.55,0.82,2.33
53,51.0,140,2.0,0.0,2007-0041-002,,280,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,0.5,0.5,0.8,0.65,18.0,7.0,0.5,0.65,0.77,2.57
54,52.0,140,2.0,0.0,2007-0041-003,,240,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.6,0.4,0.3,0.5,0.4,24.0,13.0,0.4,0.4,1.0,1.85
55,53.0,140,2.0,0.0,2007-0041-004,,170,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.3,0.3,0.3,0.5,0.4,25.0,10.0,0.3,0.4,0.75,2.5
56,54.0,140,2.0,0.0,2007-0041-005,,380,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,24.0,8.0,0.5,0.5,1.0,3.0
57,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,0.45,0.3,0.6,0.45,26.0,10.0,0.45,0.45,1.0,2.6
58,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,0.45,0.3,0.6,0.45,26.0,10.0,0.45,0.45,1.0,2.6
59,56.0,140,2.0,0.0,2007-0041-007,,140,280,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.2,0.4,0.3,20.0,12.0,0.4,0.3,1.33,1.67
60,57.0,140-148,0.0,0.0,2007-0058-001,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.4,0.5,0.45,24.0,9.0,0.4,0.45,0.89,2.67
61,58.0,140-148,0.0,0.0,2007-0058-002,,200,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.5,0.45,26.0,10.0,0.35,0.45,0.78,2.6
62,59.0,144,0.0,1.0,2007-0054-003,,180,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.6,0.4,0.2,0.8,0.5,26.0,12.0,0.4,0.5,0.8,2.17
63,60.0,144,0.0,1.0,2007-0054-004,,150,30,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,0.55,0.5,0.7,0.6,16.0,8.0,0.55,0.6,0.92,2.0
64,60.0,144,0.0,1.0,2007-0054-004,,100,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,0.55,0.5,0.7,0.6,16.0,8.0,0.55,0.6,0.92,2.0
66,62.0,144,0.0,1.0,2007-0054-006,,440,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,0.5,0.5,0.6,0.55,34.0,8.0,0.5,0.55,0.91,4.25
67,63.0,144,1.0,1.0,2007-0054-007,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.8,0.6,20.0,8.0,0.35,0.6,0.58,2.5
68,64.0,159,1.0,0.0,2008-0001,,205,235,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.4,0.3,0.3,0.6,0.45,24.0,14.0,0.3,0.45,0.67,1.71
69,65.0,159,1.0,0.0,2008-0001-002-01,,110,200,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,17.0,7.0,0.5,0.5,1.0,2.43
70,66.0,159,1.0,0.0,2008-0001-002-01,,155,230,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.4,0.3,0.2,0.4,0.3,16.0,16.0,0.3,0.3,1.0,1.0
71,67.0,159,1.0,0.0,2008-0001-003-01,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,10.0,0.3,0.5,0.6,3.2
72,68.0,159,0.0,1.0,2008-001-003-04,,400,180,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,0.55,0.6,0.8,0.7,18.0,9.0,0.55,0.7,0.79,2.0
73,69.0,159,0.0,1.0,2008-001-003-04,,480,320,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.3,0.5,0.4,24.0,15.0,0.3,0.4,0.75,1.6
75,71.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.5,0.45,0.2,0.4,0.3,36.0,16.0,0.45,0.3,1.5,2.25
76,72.0,159,0.0,1.0,2008-001-003-05,,130,50,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,12.0,0.5,0.5,1.0,1.33
77,73.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.5,0.4,22.0,16.0,0.4,0.4,1.0,1.38
78,74.0,159,0.0,1.0,2008-0001-004-05,,30,85,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,18.0,13.0,0.25,0.25,1.0,1.38
79,75.0,159,0.0,1.0,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.6,0.4,0.2,0.6,0.4,16.0,12.0,0.4,0.4,1.0,1.33
80,76.0,159,1.0,0.0,2008-004-01,,110,85,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,16.0,11.0,0.5,0.4,1.25,1.45
81,77.0,160,1.0,0.0,2008-002-02,,300,1220,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.7,0.45,0.4,0.5,0.45,10.0,8.0,0.45,0.45,1.0,1.25
82,78.0,"160, 165-167",0.0,0.0,2008-002-010-01,,500,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.3,0.25,0.1,0.2,0.15,42.0,16.0,0.25,0.15,1.67,2.62
83,79.0,"160, 165-167",0.0,0.0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.6,0.4,0.3,0.5,0.4,15.0,12.0,0.4,0.4,1.0,1.25
84,80.0,"160, 165-167",0.0,0.0,2008-002-010-05,,1250,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,0.45,0.3,0.4,0.35,32.0,11.0,0.45,0.35,1.29,2.91
85,81.0,"160, 165-167",0.0,0.0,2008-002-010-08,,240,150,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,32.0,12.0,0.5,0.4,1.25,2.67
86,82.0,161,1.0,0.0,2008-005-001-01,,630,30,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55,0.73,1.44
87,82.0,161,1.0,0.0,2008-005-001-01,,420,30,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55,0.73,1.44
88,82.0,161,1.0,0.0,2008-005-001-01,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55,0.73,1.44
89,83.0,161,1.0,0.0,2008-005-001-02,,130,30,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.5,0.7,0.6,12.0,8.0,0.4,0.6,0.67,1.5
90,84.0,162,0.0,1.0,2008-006-007-01,,150,75,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25,1.0,3.0
91,85.0,162,0.0,1.0,2008-006-007-02,,80,85,nakladka,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35,0.71,2.0
92,86.0,162,0.0,1.0,2008-006-007-03,,70,130,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35,0.71,2.0
93,87.0,162,0.0,1.0,2008-006-007-04,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25,1.0,3.0
94,88.0,162,0.0,1.0,2008-006-007-06,,30,180,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,28.0,10.0,0.25,0.25,1.0,2.8
95,89.0,163,0.0,1.0,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,24.0,10.0,0.35,0.35,1.0,2.4
96,90.0,163,0.0,1.0,2008-008-001-03-2,,310,920,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,10.0,7.0,0.55,0.55,1.0,1.43
97,90.0,163,0.0,1.0,2008-008-001-03-2,,80,50,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,20.0,10.0,0.25,0.25,1.0,2.0
98,91.0,163,0.0,1.0,2008-008-03,,100,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1.25,3.38
99,91.0,163,0.0,1.0,2008-008-03,,850,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1.25,3.38
100,91.0,163,0.0,1.0,2008-008-03,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1.25,3.38
101,91.0,163,0.0,1.0,2008-008-03,,210,25,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1.25,3.38
102,91.0,163,0.0,1.0,2008-008-03,,180,25,n_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.2,0.2,44.0,13.0,0.25,0.2,1.25,3.38
103,92.0,163,0.0,1.0,2008-008-04,,300,820,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,10.0,0.5,0.5,1.0,1.6
104,93.0,163,0.0,1.0,2008-008-06,,2100,26,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.3,0.4,0.35,28.0,10.0,0.45,0.35,1.29,2.8
105,94.0,163,0.0,1.0,2008-008-07,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,20.0,10.0,0.25,0.35,0.71,2.0
106,95.0,163,0.0,1.0,2008-008-08,,170,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.3,0.3,34.0,14.0,0.35,0.3,1.17,2.43
107,96.0,169,0.0,1.0,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.2,0.3,0.25,28.0,5.0,0.4,0.25,1.6,5.6
108,97.0,172,0.0,1.0,2008-0013-002-04,,230,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.3,0.6,0.45,19.0,12.0,0.45,0.45,1.0,1.58
109,98.0,173,0.0,1.0,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7,1.0,1.2
110,99.0,173,0.0,1.0,2008-0031-003-02,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.3,0.5,0.4,28.0,14.0,0.45,0.4,1.12,2.0
111,100.0,173,0.0,1.0,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7,1.0,1.2
112,101.0,173,0.0,1.0,2008-0031-003-04,,260,160,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.5,0.4,26.0,15.0,0.5,0.4,1.25,1.73
113,102.0,173,0.0,1.0,2008-0031-003-05,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.3,0.5,0.4,26.0,15.0,0.5,0.4,1.25,1.73
115,104.0,173,0.0,1.0,2008-0031-003-07,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,0.5,0.4,0.5,0.45,36.0,10.0,0.5,0.45,1.11,3.6
116,105.0,173,0.0,1.0,2008-0031-003-08,,190,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,0.5,0.4,0.5,0.45,36.0,10.0,0.5,0.45,1.11,3.6
119,108.0,173,0.0,1.0,2008-0031-003-11,,50,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,27.0,16.0,0.5,0.5,1.0,1.69
120,109.0,173,0.0,1.0,2008-0031-003-12,,160,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.8,0.55,0.3,0.6,0.45,30.0,12.0,0.55,0.45,1.22,2.5
121,110.0,173,0.0,1.0,2008-0031-003-13,,100,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,20.0,5.0,0.4,0.55,0.73,4.0
122,111.0,173,0.0,1.0,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5,1.4,3.5
123,112.0,173,0.0,1.0,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5,1.4,3.5
