,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient
10,11.0,88,0.0,0.0,2007-0034-004,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1,0.8,1.0,"0,9",12.0,8.0,1.0,0.9,1.5,1.5
11,12.0,88,0.0,0.0,2007-0034-005,,400,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",12.0,9.0,0.75,0.7,1.33,1.33
12,13.0,93,0.0,0.0,2007-0082-001,,60,300,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",14.0,10.0,0.75,0.7,1.4,1.4
13,13.0,93,0.0,0.0,2007-0082-001,,60,800,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,"0,75",0.4,1.0,"0,7",14.0,10.0,0.75,0.7,1.4,1.4
14,14.0,93,0.0,0.0,2007-0082-002,,190,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.4,"0,3",0.2,0.5,"0,35",22.0,16.0,0.3,0.35,1.38,1.38
15,15.0,93,0.0,0.0,2007-0082-003,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1,0.8,1.0,"0,9",12.0,8.0,1.0,0.9,1.5,1.5
16,16.0,95,0.0,1.0,2007-0038-003,,85,44,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",18.0,14.0,0.4,0.5,1.29,1.29
17,17.0,95,0.0,1.0,2007-0038-004,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",15.0,8.0,0.65,0.65,1.88,1.88
18,18.0,95,0.0,1.0,2007-0050-001,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.6,0.8,"0,7",0.5,0.8,"0,65",14.0,7.0,0.7,0.65,2.0,2.0
19,19.0,95,0.0,1.0,2007-0050-005,,70,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",26.0,10.0,0.5,0.5,2.6,2.6
20,20.0,95,0.0,1.0,2007-0050-006,,260,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",24.0,9.0,0.45,0.45,2.67,2.67
21,21.0,95,0.0,1.0,2007-0050-007,,370,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,"0,65",0.2,0.5,"0,35",28.0,10.0,0.65,0.35,2.8,2.8
22,22.0,95,0.0,1.0,2007-0050-010,,100,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,1.3,"0,9",1.0,2.0,"1,5",10.0,5.0,0.9,1.5,2.0,2.0
24,24.0,95,0.0,1.0,2007-0050-012,,200,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.45,0.5,"0,48",0.4,0.5,"0,45",34.0,12.0,0.48,0.45,2.83,2.83
25,25.0,97,0.0,0.0,2007-0084-001,,70,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",24.0,12.0,0.55,0.55,2.0,2.0
26,26.0,97,0.0,0.0,2007-0084-002,,90,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",14.0,10.0,0.65,0.65,1.4,1.4
27,27.0,97,0.0,0.0,2007-0084-003,,70,12,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.2,"0,9",10.0,7.0,0.65,0.9,1.43,1.43
28,28.0,107,0.0,0.0,2007-0040,,110,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,"0,65",0.6,1.0,"0,8",12.0,8.0,0.65,0.8,1.5,1.5
29,29.0,108,0.0,0.0,2007-0047-001,,120,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.7,0.8,"0,75",16.0,12.0,0.45,0.75,1.33,1.33
30,30.0,108,0.0,0.0,2007-0047-002,,50,290,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.2,0.5,"0,35",16.0,14.0,0.35,0.35,1.14,1.14
31,31.0,126,0.0,1.0,2007- 0077-001,,720,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,1.0,"0,75",0.8,1.0,"0,9",13.0,8.0,0.75,0.9,1.62,1.62
32,32.0,126,0.0,1.0,2007- 0077-004,,120,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,"0,35",0.4,0.6,"0,5",24.0,10.0,0.35,0.5,2.4,2.4
33,33.0,126,0.0,1.0,2007- 0077-005,,130,60,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.2,0.5,"0,35",0.4,0.5,"0,45",23.0,12.0,0.35,0.45,1.92,1.92
34,34.0,133,0.0,0.0,2010- 0001-001,,200,260,sewn_ item,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",12.0,8.0,0.55,0.55,1.5,1.5
36,35.0,133,0.0,0.0,2010- 0001-002,,140,45,band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,1.0,"0,8",12.0,10.0,0.7,0.8,1.2,1.2
37,36.0,133,0.0,0.0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,14.0,0.3,0.5,2.29,2.29
38,37.0,133,0.0,0.0,2008-0036-001-01,,6,14,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.5,"0,45",14.0,16.0,0.5,0.45,0.88,0.88
39,38.0,133,0.0,0.0,2008-0036-001-02,,60,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.4,0.5,"0,45",24.0,10.0,0.45,0.45,2.4,2.4
40,39.0,133,0.0,0.0,2008-0036-001-03,,12,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.6,"0,45",36.0,14.0,0.4,0.45,2.57,2.57
41,40.0,133,0.0,0.0,2008-0036-001-04,,20,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",24.0,10.0,0.4,0.4,2.4,2.4
42,41.0,133,0.0,0.0,2008-0036-001-05,,15,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,12.0,0.4,0.4,1.83,1.83
43,42.0,133,0.0,0.0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57
44,42.0,133,0.0,0.0,2008-0036-001-06,,20,15,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57
45,42.0,133,0.0,0.0,2008-0036-001-06,,14,25,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57
46,43.0,133,0.0,0.0,2008-0036-001-08,,20,40,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",32.0,12.0,0.35,0.35,2.67,2.67
47,44.0,133,0.0,0.0,2008-0036-001-09,,10,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,"0,3",0.2,0.3,"0,25",40.0,14.0,0.3,0.25,2.86,2.86
48,45.0,133,0.0,0.0,2008-0036-002,,убрать эту запись!!!!,0,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.5,"0,4",0.3,0.6,"0,45",12.0,8.0,0.4,0.45,1.5,1.5
50,47.0,137,0.0,0.0,2007-0039-001,,130,130,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",17.0,10.0,0.55,0.55,1.7,1.7
51,48.0,137,0.0,0.0,2007-0039-002,,160,130,fabric,0,mono,fragment,tabby,linen,linen,light,light,S,S,uneven,loose,,,,0.5,0.6,"0,55",0.5,0.8,"0,65",18.0,9.0,0.55,0.65,2.0,2.0
52,49.0,137,0.0,0.0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,"0,65",0.4,0.8,"0,6",28.0,9.0,0.65,0.6,3.11,3.11
53,50.0,140,2.0,0.0,2007-0041-001,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,"0,45",0.5,0.6,"0,55",28.0,12.0,0.45,0.55,2.33,2.33
54,51.0,140,2.0,0.0,2007-0041-002,,280,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.4,0.6,"0,5",0.5,0.8,"0,65",18.0,7.0,0.5,0.65,2.57,2.57
55,52.0,140,2.0,0.0,2007-0041-003,,240,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.6,"0,4",0.3,0.5,"0,4",24.0,13.0,0.4,0.4,1.85,1.85
56,53.0,140,2.0,0.0,2007-0041-004,,170,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.3,0.3,"0,3",0.3,0.5,"0,4",25.0,10.0,0.3,0.4,2.5,2.5
57,54.0,140,2.0,0.0,2007-0041-005,,380,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",24.0,8.0,0.5,0.5,3.0,3.0
58,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",26.0,10.0,0.45,0.45,2.6,2.6
59,55.0,140,2.0,0.0,2007-0041-006,,200,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",26.0,10.0,0.45,0.45,2.6,2.6
60,56.0,140,2.0,0.0,2007-0041-007,,140,280,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.2,0.4,"0,3",20.0,12.0,0.4,0.3,1.67,1.67
61,57.0,140-148,0.0,0.0,2007-0058-001,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.4,0.5,"0,45",24.0,9.0,0.4,0.45,2.67,2.67
62,58.0,140-148,0.0,0.0,2007-0058-002,,200,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.5,"0,45",26.0,10.0,0.35,0.45,2.6,2.6
63,59.0,144,0.0,1.0,2007-0054-003,,180,110,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.6,"0,4",0.2,0.8,"0,5",26.0,12.0,0.4,0.5,2.17,2.17
64,60.0,144,0.0,1.0,2007-0054-004,,150,30,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,"0,55",0.5,0.7,"0,6",16.0,8.0,0.55,0.6,2.0,2.0
65,60.0,144,0.0,1.0,2007-0054-004,,100,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,0.6,"0,55",0.5,0.7,"0,6",16.0,8.0,0.55,0.6,2.0,2.0
66,61.0,144,0.0,1.0,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.8,1.5,"1,15",0.6,0.8,"0,7",18.0,6.0,1.15,0.7,3.0,3.0
67,62.0,144,0.0,1.0,2007-0054-006,,440,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,"0,5",0.5,0.6,"0,55",34.0,8.0,0.5,0.55,4.25,4.25
68,63.0,144,1.0,1.0,2007-0054-007,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.4,0.8,"0,6",20.0,8.0,0.35,0.6,2.5,2.5
69,64.0,159,1.0,0.0,2008-0001,,205,235,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.4,"0,3",0.3,0.6,"0,45",24.0,14.0,0.3,0.45,1.71,1.71
70,65.0,159,1.0,0.0,2008-0001-002-01,,110,200,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",17.0,7.0,0.5,0.5,2.43,2.43
71,66.0,159,1.0,0.0,2008-0001-002-01,,155,230,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",16.0,16.0,0.3,0.3,1.0,1.0
72,67.0,159,1.0,0.0,2008-0001-003-01,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,10.0,0.3,0.5,3.2,3.2
73,68.0,159,0.0,1.0,2008-001-003-04,,400,180,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.6,0.8,"0,7",18.0,9.0,0.55,0.7,2.0,2.0
74,69.0,159,0.0,1.0,2008-001-003-04,,480,320,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.3,0.5,"0,4",24.0,15.0,0.3,0.4,1.6,1.6
75,70.0,159,0.0,1.0,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,"0,55",0.6,8.0,"4,3",30.0,8.0,0.55,4.3,3.75,3.75
76,71.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.5,"0,45",0.2,0.4,"0,3",36.0,16.0,0.45,0.3,2.25,2.25
77,72.0,159,0.0,1.0,2008-001-003-05,,130,50,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,12.0,0.5,0.5,1.33,1.33
78,73.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,16.0,0.4,0.4,1.38,1.38
80,75.0,159,0.0,1.0,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.6,"0,4",0.2,0.6,"0,4",16.0,12.0,0.4,0.4,1.33,1.33
81,76.0,159,1.0,0.0,2008-004-01,,110,85,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",16.0,11.0,0.5,0.4,1.45,1.45
82,77.0,160,1.0,0.0,2008-002-02,,300,1220,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.7,"0,45",0.4,0.5,"0,45",10.0,8.0,0.45,0.45,1.25,1.25
84,79.0,"160, 165-167",0.0,0.0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.6,"0,4",0.3,0.5,"0,4",15.0,12.0,0.4,0.4,1.25,1.25
85,80.0,"160, 165-167",0.0,0.0,2008-002-010-05,,1250,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,"0,45",0.3,0.4,"0,35",32.0,11.0,0.45,0.35,2.91,2.91
86,81.0,"160, 165-167",0.0,0.0,2008-002-010-08,,240,150,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",32.0,12.0,0.5,0.4,2.67,2.67
87,82.0,161,1.0,0.0,2008-005-001-01,,630,30,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44
88,82.0,161,1.0,0.0,2008-005-001-01,,420,30,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44
89,82.0,161,1.0,0.0,2008-005-001-01,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",13.0,9.0,0.4,0.55,1.44,1.44
90,83.0,161,1.0,0.0,2008-005-001-02,,130,30,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,"0,4",0.5,0.7,"0,6",12.0,8.0,0.4,0.6,1.5,1.5
96,89.0,163,0.0,1.0,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.4,"0,35",24.0,10.0,0.35,0.35,2.4,2.4
97,90.0,163,0.0,1.0,2008-008-001-03-2,,310,920,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,"0,55",0.5,0.6,"0,55",10.0,7.0,0.55,0.55,1.43,1.43
104,92.0,163,0.0,1.0,2008-008-04,,300,820,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,10.0,0.5,0.5,1.6,1.6
105,93.0,163,0.0,1.0,2008-008-06,,2100,26,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,"0,45",0.3,0.4,"0,35",28.0,10.0,0.45,0.35,2.8,2.8
107,95.0,163,0.0,1.0,2008-008-08,,170,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.3,"0,3",34.0,14.0,0.35,0.3,2.43,2.43
108,96.0,169,0.0,1.0,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.2,0.3,"0,25",28.0,5.0,0.4,0.25,5.6,5.6
109,97.0,172,0.0,1.0,2008-0013-002-04,,230,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.6,"0,45",19.0,12.0,0.45,0.45,1.58,1.58
110,98.0,173,0.0,1.0,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,0.8,"0,7",12.0,10.0,0.7,0.7,1.2,1.2
111,99.0,173,0.0,1.0,2008-0031-003-02,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.5,"0,4",28.0,14.0,0.45,0.4,2.0,2.0
112,100.0,173,0.0,1.0,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.6,0.8,"0,7",12.0,10.0,0.7,0.7,1.2,1.2
113,101.0,173,0.0,1.0,2008-0031-003-04,,260,160,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,15.0,0.5,0.4,1.73,1.73
114,102.0,173,0.0,1.0,2008-0031-003-05,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,15.0,0.5,0.4,1.73,1.73
115,103.0,173,0.0,1.0,2008-0031-003-06,,100,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,18.0,0.5,0.4,1.44,1.44
116,104.0,173,0.0,1.0,2008-0031-003-07,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,"0,5",0.4,0.5,"0,45",36.0,10.0,0.5,0.45,3.6,3.6
117,105.0,173,0.0,1.0,2008-0031-003-08,,190,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,"0,5",0.4,0.5,"0,45",36.0,10.0,0.5,0.45,3.6,3.6
118,106.0,173,0.0,1.0,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,1.2,"0,9",1.0,1.4,"1,2",20.0,8.0,0.9,1.2,2.5,2.5
119,107.0,173,0.0,1.0,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,"0,65",1.5,2.5,2,12.0,5.0,0.65,2.0,2.4,2.4
120,108.0,173,0.0,1.0,2008-0031-003-11,,50,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",27.0,16.0,0.5,0.5,1.69,1.69
121,109.0,173,0.0,1.0,2008-0031-003-12,,160,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.8,"0,55",0.3,0.6,"0,45",30.0,12.0,0.55,0.45,2.5,2.5
122,110.0,173,0.0,1.0,2008-0031-003-13,,100,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.5,0.6,"0,55",20.0,5.0,0.4,0.55,4.0,4.0
123,111.0,173,0.0,1.0,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.4,0.6,"0,5",14.0,4.0,0.7,0.5,3.5,3.5
124,112.0,173,0.0,1.0,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,"0,7",0.4,0.6,"0,5",14.0,4.0,0.7,0.5,3.5,3.5
125,113.0,173,0.0,1.0,2008-0031-003-16,,40,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,18.0,0.5,0.4,1.44,1.44
126,114.0,175,0.0,1.0,2008-0024-003-01,,200,210,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",34.0,12.0,0.5,0.5,2.83,2.83
127,115.0,175,0.0,1.0,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",16.0,10.0,0.65,0.65,1.6,1.6
128,115.0,175,0.0,1.0,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,"0,65",0.5,0.8,"0,65",16.0,10.0,0.65,0.65,1.6,1.6
129,116.0,175,0.0,1.0,2008-0024-003-03,,70,230,pelena,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",16.0,7.0,0.5,0.5,2.29,2.29
