,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal
66,62.0,144,0.0,1.0,2007-0054-006,,440,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.4,0.6,0.5,0.5,0.6,0.55,34.0,8.0,0.5,0.55
67,63.0,144,1.0,1.0,2007-0054-007,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.8,0.6,20.0,8.0,0.35,0.6
69,65.0,159,1.0,0.0,2008-0001-002-01,,110,200,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,17.0,7.0,0.5,0.5
71,67.0,159,1.0,0.0,2008-0001-003-01,,170,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,10.0,0.3,0.5
72,68.0,159,0.0,1.0,2008-001-003-04,,400,180,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,0.55,0.6,0.8,0.7,18.0,9.0,0.55,0.7
74,70.0,159,0.0,1.0,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,0.55,0.6,8.0,4.3,30.0,8.0,0.55,4.3
76,72.0,159,0.0,1.0,2008-001-003-05,,130,50,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,12.0,0.5,0.5
78,74.0,159,0.0,1.0,2008-0001-004-05,,30,85,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,18.0,13.0,0.25,0.25
79,75.0,159,0.0,1.0,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.6,0.4,0.2,0.6,0.4,16.0,12.0,0.4,0.4
80,76.0,159,1.0,0.0,2008-004-01,,110,85,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,16.0,11.0,0.5,0.4
81,77.0,160,1.0,0.0,2008-002-02,,300,1220,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.2,0.7,0.45,0.4,0.5,0.45,10.0,8.0,0.45,0.45
83,79.0,"160, 165-167",0.0,0.0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.6,0.4,0.3,0.5,0.4,15.0,12.0,0.4,0.4
84,80.0,"160, 165-167",0.0,0.0,2008-002-010-05,,1250,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.5,0.45,0.3,0.4,0.35,32.0,11.0,0.45,0.35
85,81.0,"160, 165-167",0.0,0.0,2008-002-010-08,,240,150,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,32.0,12.0,0.5,0.4
86,82.0,161,1.0,0.0,2008-005-001-01,,630,30,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55
87,82.0,161,1.0,0.0,2008-005-001-01,,420,30,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55
88,82.0,161,1.0,0.0,2008-005-001-01,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,13.0,9.0,0.4,0.55
89,83.0,161,1.0,0.0,2008-005-001-02,,130,30,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.6,0.4,0.5,0.7,0.6,12.0,8.0,0.4,0.6
90,84.0,162,0.0,1.0,2008-006-007-01,,150,75,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25
91,85.0,162,0.0,1.0,2008-006-007-02,,80,85,nakladka,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35
92,86.0,162,0.0,1.0,2008-006-007-03,,70,130,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35
93,87.0,162,0.0,1.0,2008-006-007-04,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25
94,88.0,162,0.0,1.0,2008-006-007-06,,30,180,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,28.0,10.0,0.25,0.25
95,89.0,163,0.0,1.0,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,24.0,10.0,0.35,0.35
96,90.0,163,0.0,1.0,2008-008-001-03-2,,310,920,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.6,0.55,0.5,0.6,0.55,10.0,7.0,0.55,0.55
97,90.0,163,0.0,1.0,2008-008-001-03-2,,80,50,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,20.0,10.0,0.25,0.25
103,92.0,163,0.0,1.0,2008-008-04,,300,820,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,10.0,0.5,0.5
104,93.0,163,0.0,1.0,2008-008-06,,2100,26,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.5,0.45,0.3,0.4,0.35,28.0,10.0,0.45,0.35
105,94.0,163,0.0,1.0,2008-008-07,,100,100,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,20.0,10.0,0.25,0.35
107,96.0,169,0.0,1.0,2008-0011-001-01,,50,10,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.2,0.3,0.25,28.0,5.0,0.4,0.25
108,97.0,172,0.0,1.0,2008-0013-002-04,,230,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,0.45,0.3,0.6,0.45,19.0,12.0,0.45,0.45
109,98.0,173,0.0,1.0,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7
111,100.0,173,0.0,1.0,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7
117,106.0,173,0.0,1.0,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,1.2,0.9,1.0,1.4,1.2,20.0,8.0,0.9,1.2
118,107.0,173,0.0,1.0,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,1.5,2.5,2.0,12.0,5.0,0.65,2.0
120,109.0,173,0.0,1.0,2008-0031-003-12,,160,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.8,0.55,0.3,0.6,0.45,30.0,12.0,0.55,0.45
121,110.0,173,0.0,1.0,2008-0031-003-13,,100,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.5,0.6,0.55,20.0,5.0,0.4,0.55
122,111.0,173,0.0,1.0,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5
123,112.0,173,0.0,1.0,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5
125,114.0,175,0.0,1.0,2008-0024-003-01,,200,210,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,34.0,12.0,0.5,0.5
126,115.0,175,0.0,1.0,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65
127,115.0,175,0.0,1.0,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65
128,116.0,175,0.0,1.0,2008-0024-003-03,,70,230,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,7.0,0.5,0.5
129,116.0,175,0.0,1.0,2008-0024-003-03,,350,200,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,16.0,7.0,0.5,0.5
130,117.0,175,0.0,1.0,2008-0024-003-04,,100,140,nakladka,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.7,0.55,16.0,7.0,0.5,0.55
131,117.0,175,0.0,1.0,2008-0024-003-04,,350,55,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.7,0.55,16.0,7.0,0.5,0.55
132,118.0,176,0.0,0.0,2008-0032-005,,1230,60,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.5,0.35,0.2,0.3,0.25,32.0,12.0,0.35,0.25
133,119.0,179,0.0,0.0,2008-0042-001-01,,20,450,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.3,0.6,0.45,0.5,0.7,0.6,16.0,8.0,0.45,0.6
134,120.0,179,0.0,0.0,2008-0042-001-05,,180,250,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.4,0.35,0.5,0.6,0.55,22.0,13.0,0.35,0.55
135,121.0,179,0.0,0.0,2008-0042-001-06,,200,300,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,0.65,0.4,0.6,0.5,13.0,8.0,0.65,0.5
136,,181-183,,,2008-0028-010-02,,200,30,n_band,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.2,0.3,0.25,0.2,0.3,0.25,10.0,8.0,0.25,0.25
137,,181-183,,,2008-0028-010-03,,120,38,textile,0,mono,fragment,basket,linen,linen,,,S,S,uneven,uneven,,,,0.3,0.4,0.35,0.3,0.4,0.35,14.0,9.0,0.35,0.35
138,122.0,181-183,0.0,1.0,2008-0028-010-01,,250,35,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,uneven,,,,0.3,0.4,0.35,0.2,0.6,0.4,22.0,9.0,0.35,0.4
139,123.0,181-183,0.0,1.0,2008-0028-010-04,,110,65,m_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.4,0.6,0.5,0.3,0.5,0.4,20.0,12.0,0.5,0.4
140,124.0,182,0.0,1.0,2008-0028-005-01,,860,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,10.0,0.3,0.5
141,125.0,182,0.0,1.0,2008-0028-005-02,,1100,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,32.0,10.0,0.3,0.5
142,126.0,182,0.0,1.0,2008-0028-005-03,,100,100,f_overlay,0,mono,fragment,,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.5,0.35,0.2,0.5,0.35,26.0,9.0,0.35,0.35
143,127.0,182,0.0,1.0,2008-0028-005-04,,20,200,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,8.0,0.3,0.5
144,127.0,182,0.0,,2008-0028-005-04,,200,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.4,0.6,0.5,30.0,8.0,0.3,0.5
145,128.0,182,0.0,1.0,2008-0028-005-05,,50,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65
146,128.0,182,0.0,,2008-0028-005-05,,80,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65
147,128.0,182,0.0,,2008-0028-005-05,,40,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65
148,128.0,182,0.0,,2008-0028-005-05,,20,20,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.8,0.65,28.0,8.0,0.45,0.65
149,129.0,182,0.0,1.0,2008-0028-005-06,,100,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.3,0.6,0.45,0.5,0.6,0.55,22.0,9.0,0.45,0.55
150,130.0,182,0.0,1.0,2008-0028-005-07,,60,20,n_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,0.5,0.4,0.6,0.5,12.0,6.0,0.5,0.5
151,131.0,182,0.0,1.0,2008-0028-005-08,,220,120,w_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,0.4,0.3,0.4,0.35,24.0,10.0,0.4,0.35
