,internal_storage,warp_size,weft_size,type,item_no,warp_a,warp_b,weft_a,weft_b,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_nominal_norm,weft_nominal_norm,warp_nominal_scaled,weft_nominal_scaled,warp_dens_norm,weft_dens_norm,warp_dens_scaled,weft_dens_scaled
29,2007-0047-001,120,110,w_band,0,0.3,0.6,0.7,0.8,16.0,12.0,0.45,0.75,0.06791696573721488,0.1015648694337723,0.20837522165291064,2.6457762793446387,0.045134036430717374,0.07700856286565191,-0.6810854752014855,0.7571149656997327
30,2007-0047-002,50,290,m_band,0,0.2,0.5,0.2,0.5,16.0,14.0,0.35,0.35,0.05282430668450046,0.04739693906909374,-1.0925308582796303,-1.2816157674986348,0.045134036430717374,0.08984332334326056,-0.6810854752014855,1.527871642493154
32,2007- 0077-004,120,80,m_band,0,0.2,0.5,0.4,0.6,24.0,10.0,0.35,0.5,0.05282430668450046,0.0677099129558482,-1.0925308582796303,0.1911562500675928,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
33,2007- 0077-005,130,60,fabric,0,0.2,0.5,0.4,0.5,23.0,12.0,0.35,0.45,0.05282430668450046,0.06093892166026338,-1.0925308582796303,-0.2997677557878162,0.06488017736915622,0.07700856286565191,0.12420392821312597,0.7571149656997327
34,2010- 0001-001,200,260,sewn_item,1,0.5,0.6,0.5,0.6,12.0,8.0,0.55,0.55,0.0830096247899293,0.07448090425143303,1.5092813015854516,0.6820802559230024,0.033850527323038025,0.051339041910434605,-1.1412508485812636,-0.7843983878871098
37,2010- 0001-002,8,18,band,2,0.2,0.4,0.4,0.6,32.0,14.0,0.3,0.5,0.04527797715814325,0.0677099129558482,-1.7429838982459003,0.1911562500675928,0.09026807286143475,0.08984332334326056,1.1595760183176265,1.527871642493154
38,2008-0036-001-01,6,14,fabric,0,0.4,0.6,0.4,0.5,14.0,16.0,0.5,0.45,0.0754632952635721,0.06093892166026338,0.8588282616191807,-0.2997677557878162,0.0394922818768777,0.10267808382086921,-0.9111681618913746,2.2986283192865753
39,2008-0036-001-02,60,30,n_band,0,0.4,0.5,0.4,0.5,24.0,10.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
40,2008-0036-001-03,12,120,fabric,0,0.3,0.5,0.3,0.6,36.0,14.0,0.4,0.45,0.06037063621085768,0.06093892166026338,-0.44207781831335946,-0.2997677557878162,0.10155158196911408,0.08984332334326056,1.6197413916974046,1.527871642493154
41,2008-0036-001-04,20,20,fabric,0,0.3,0.5,0.3,0.5,24.0,10.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.06770105464607605,0.06417380238804325,0.23924527155807046,-0.01364171109368855
42,2008-0036-001-05,15,20,fabric,0,0.3,0.5,0.3,0.5,22.0,12.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.06205930009223638,0.07700856286565191,0.00916258486818146,0.7571149656997327
43,2008-0036-001-06,10,40,fabric,1,0.2,0.4,0.2,0.4,36.0,14.0,0.3,0.3,0.04527797715814325,0.04062594777350892,-1.7429838982459003,-1.7725397733540438,0.10155158196911408,0.08984332334326056,1.6197413916974046,1.527871642493154
44,2008-0036-001-06,20,15,fabric,2,0.2,0.4,0.2,0.4,36.0,14.0,0.3,0.3,0.04527797715814325,0.04062594777350892,-1.7429838982459003,-1.7725397733540438,0.10155158196911408,0.08984332334326056,1.6197413916974046,1.527871642493154
45,2008-0036-001-06,14,25,fabric,3,0.2,0.4,0.2,0.4,36.0,14.0,0.3,0.3,0.04527797715814325,0.04062594777350892,-1.7429838982459003,-1.7725397733540438,0.10155158196911408,0.08984332334326056,1.6197413916974046,1.527871642493154
46,2008-0036-001-08,20,40,fabric,0,0.3,0.4,0.3,0.4,32.0,12.0,0.35,0.35,0.05282430668450046,0.04739693906909374,-1.0925308582796303,-1.2816157674986348,0.09026807286143475,0.07700856286565191,1.1595760183176265,0.7571149656997327
47,2008-0036-001-09,10,20,fabric,0,0.2,0.4,0.2,0.3,40.0,14.0,0.3,0.25,0.04527797715814325,0.0338549564779241,-1.7429838982459003,-2.2634637792094527,0.11283509107679343,0.08984332334326056,2.0799067650771828,1.527871642493154
49,2007-0039-001,130,130,m_band,0,0.5,0.6,0.5,0.6,17.0,10.0,0.55,0.55,0.0830096247899293,0.07448090425143303,1.5092813015854516,0.6820802559230024,0.04795491370763721,0.06417380238804325,-0.566044131856541,-0.01364171109368855
50,2007-0039-002,160,130,fabric,0,0.5,0.6,0.5,0.8,18.0,9.0,0.55,0.65,0.0830096247899293,0.08802288684260266,1.5092813015854516,1.6639282676338205,0.05077579098455704,0.057756422149238935,-0.45100278851159653,-0.3990200494903992
52,2007-0041-001,150,90,m_band,0,0.4,0.5,0.5,0.6,28.0,12.0,0.45,0.55,0.06791696573721488,0.07448090425143303,0.20837522165291064,0.6820802559230024,0.0789845637537554,0.07700856286565191,0.6994106449378484,0.7571149656997327
53,2007-0041-002,280,130,w_band,0,0.4,0.6,0.5,0.8,18.0,7.0,0.5,0.65,0.0754632952635721,0.08802288684260266,0.8588282616191807,1.6639282676338205,0.05077579098455704,0.04492166167163028,-0.45100278851159653,-1.1697767262838206
54,2007-0041-003,240,90,m_band,0,0.2,0.6,0.3,0.5,24.0,13.0,0.4,0.4,0.06037063621085768,0.05416793036467856,-0.44207781831335946,-0.7906917616432253,0.06770105464607605,0.08342594310445624,0.23924527155807046,1.1424933040964433
55,2007-0041-004,170,150,w_band,0,0.3,0.3,0.3,0.5,25.0,10.0,0.3,0.4,0.04527797715814325,0.05416793036467856,-1.7429838982459003,-0.7906917616432253,0.0705219319229959,0.06417380238804325,0.354286614903015,-0.01364171109368855
56,2007-0041-005,380,130,w_band,0,0.4,0.6,0.4,0.6,24.0,8.0,0.5,0.5,0.0754632952635721,0.0677099129558482,0.8588282616191807,0.1911562500675928,0.06770105464607605,0.051339041910434605,0.23924527155807046,-0.7843983878871098
57,2007-0041-006,200,60,m_band,1,0.3,0.6,0.3,0.6,26.0,10.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.07334280919991573,0.06417380238804325,0.4693279582479595,-0.01364171109368855
58,2007-0041-006,200,60,m_band,2,0.3,0.6,0.3,0.6,26.0,10.0,0.45,0.45,0.06791696573721488,0.06093892166026338,0.20837522165291064,-0.2997677557878162,0.07334280919991573,0.06417380238804325,0.4693279582479595,-0.01364171109368855
59,2007-0041-007,140,280,w_band,0,0.2,0.6,0.2,0.4,20.0,12.0,0.4,0.3,0.06037063621085768,0.04062594777350892,-0.44207781831335946,-1.7725397733540438,0.056417545538396716,0.07700856286565191,-0.22092010182170754,0.7571149656997327
