,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
118,107.0,173,0.0,1.0,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,1.5,2.5,2.0,12.0,5.0,0.65,2.0,2
122,111.0,173,0.0,1.0,2008-0031-003-14,,100,60,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5,2
123,112.0,173,0.0,1.0,2008-0031-003-15,,150,110,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.4,0.6,0.5,14.0,4.0,0.7,0.5,2
126,115.0,175,0.0,1.0,2008-0024-003-02,,75,75,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65,2
127,115.0,175,0.0,1.0,2008-0024-003-02,,90,20,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,16.0,10.0,0.65,0.65,2
176,144.0,189,0.0,0.0,2008-0060-001-03,,75,35,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
177,144.0,189,0.0,,2008-0060-001-03,,120,35,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
178,144.0,189,0.0,,2008-0060-001-03,,25,35,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
179,145.0,189,0.0,0.0,2008-0060-001-04,,100,15,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,2
180,145.0,189,0.0,,2008-0060-001-04,,100,15,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,2
182,,189,0.0,0.0,2008-0061-001-03,,75,35,n_band,1,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
183,,189,0.0,0.0,2008-0061-001-03,,120,35,n_band,2,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
184,,189,0.0,0.0,2008-0061-001-03,,25,35,n_band,3,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,0.5,0.9,0.7,0.5,0.9,0.7,10.0,8.0,0.7,0.7,2
185,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,1,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,2
186,,189,0.0,0.0,2008-0061-001-04,,10,15,n_band,2,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,0.7,1.0,0.85,0.5,0.8,0.65,14.0,8.0,0.85,0.65,2
191,149.0,193,0.0,0.0,2008-0058-001-01,,55,15,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.5,0.8,0.65,0.5,0.8,0.65,10.0,8.0,0.65,0.65,2
207,162.0,196,3.0,0.0,2008-0070-003-12,,10,100,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,1.0,0.5,0.8,1.0,,,0.65,0.65,2
217,170.0,196,3.0,0.0,2008-0070-003-21,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,Z,Z,medium,medium,,,,0.6,1.2,0.9,0.6,1.2,0.9,12.0,4.0,0.9,0.9,2
228,,200,0.0,1.0,2008-0118-005,,180,40,textile,0,mono,fragment,half-basket,linen,linen,no,no,S,S,uneven,uneven,,,,0.8,1.5,1.15,1.2,2.0,1.6,4.0,3.0,1.15,1.6,2
239,182.0,208,1.0,0.0,2008-0102-003-02,,180,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.6,0.45,1.0,1.5,1.25,10.0,6.0,0.45,1.25,2
240,183.0,209,0.0,1.0,2008-0121-004-07,,40,15,textile,0,mono,fragment,tabby,linen,linen,red-brown,red-brown,S,S,medium,medium,,,,0.4,0.8,0.6,0.4,1.2,0.8,12.0,6.0,0.6,0.8,2
258,189.0,211,1.0,0.0,2008-0134-001-05,,940,70,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,0.8,1.0,0.9,12.0,6.0,0.65,0.9,2
259,189.0,211,1.0,,2008-0134-001-05,,120,70,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,0.8,1.0,0.9,12.0,6.0,0.65,0.9,2
260,189.0,211,1.0,,2008-0134-001-05,,130,70,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,0.8,1.0,0.9,12.0,6.0,0.65,0.9,2
261,190.0,211,1.0,0.0,2008-0134-001-06,,660,350,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.8,1.0,0.9,14.0,10.0,0.65,0.9,2
262,190.0,211,1.0,,2008-0134-001-06,,640,290,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.8,1.0,0.9,14.0,10.0,0.65,0.9,2
284,206.0,211,1.0,0.0,2008-0134-001-23,,400,900,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.6,1.0,0.8,14.0,10.0,0.65,0.8,2
