,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
0,1.0,80,0.0,0.0,2007-0075-002,,100,110,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,1.0,0.75,0.5,1.0,0.75,13.0,8.0,0.75,0.75,2
7,8.0,88,0.0,0.0,2007-0034-001,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,0.65,0.5,0.8,0.65,22.0,12.0,0.65,0.65,2
8,9.0,88,0.0,0.0,2007-0034-002,,120,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.6,0.8,0.7,0.6,1.0,0.8,13.0,8.0,0.7,0.8,2
10,11.0,88,0.0,0.0,2007-0034-004,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1.0,0.8,1.0,0.9,12.0,8.0,1.0,0.9,2
11,12.0,88,0.0,0.0,2007-0034-005,,400,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,0.75,0.4,1.0,0.7,12.0,9.0,0.75,0.7,2
12,13.0,93,0.0,0.0,2007-0082-001,,60,300,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,0.75,0.4,1.0,0.7,14.0,10.0,0.75,0.7,2
13,13.0,93,0.0,0.0,2007-0082-001,,60,800,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,uneven,,,,0.5,1.0,0.75,0.4,1.0,0.7,14.0,10.0,0.75,0.7,2
15,15.0,93,0.0,0.0,2007-0082-003,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1.0,0.8,1.0,0.9,12.0,8.0,1.0,0.9,2
17,17.0,95,0.0,1.0,2007-0038-004,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,0.5,0.8,0.65,15.0,8.0,0.65,0.65,2
18,18.0,95,0.0,1.0,2007-0050-001,,310,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.6,0.8,0.7,0.5,0.8,0.65,14.0,7.0,0.7,0.65,2
22,22.0,95,0.0,1.0,2007-0050-010,,100,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,1.3,0.9,1.0,2.0,1.5,10.0,5.0,0.9,1.5,2
26,26.0,97,0.0,0.0,2007-0084-002,,90,80,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.8,0.65,0.5,0.8,0.65,14.0,10.0,0.65,0.65,2
27,27.0,97,0.0,0.0,2007-0084-003,,70,12,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,0.65,0.6,1.2,0.9,10.0,7.0,0.65,0.9,2
28,28.0,107,0.0,0.0,2007-0040,,110,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,loose,,,,0.5,0.8,0.65,0.6,1.0,0.8,12.0,8.0,0.65,0.8,2
31,31.0,126,0.0,1.0,2007- 0077-001,,720,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,1.0,0.75,0.8,1.0,0.9,13.0,8.0,0.75,0.9,2
36,35.0,133,0.0,0.0,2010- 0001-002,,140,45,band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,1.0,0.8,12.0,10.0,0.7,0.8,2
51,49.0,137,0.0,0.0,2007-0039-003,,240,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.5,0.8,0.65,0.4,0.8,0.6,28.0,9.0,0.65,0.6,2
65,61.0,144,0.0,1.0,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.8,1.5,1.15,0.6,0.8,0.7,18.0,6.0,1.15,0.7,2
74,70.0,159,0.0,1.0,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,0.55,0.6,8.0,4.3,30.0,8.0,0.55,4.3,2
109,98.0,173,0.0,1.0,2008-0031-003-01,,270,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7,2
111,100.0,173,0.0,1.0,2008-0031-003-03,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,0.8,0.7,0.6,0.8,0.7,12.0,10.0,0.7,0.7,2
117,106.0,173,0.0,1.0,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,1.2,0.9,1.0,1.4,1.2,20.0,8.0,0.9,1.2,2
