,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
78,74.0,159,0.0,1.0,2008-0001-004-05,,30,85,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,18.0,13.0,0.25,0.25,1
79,75.0,159,0.0,1.0,2008-0001-004-05,,25,85,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.6,0.4,0.2,0.6,0.4,16.0,12.0,0.4,0.4,1
82,78.0,"160, 165-167",0.0,0.0,2008-002-010-01,,500,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.3,0.25,0.1,0.2,0.15,42.0,16.0,0.25,0.15,1
83,79.0,"160, 165-167",0.0,0.0,2008-002-010-02,,130,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.6,0.4,0.3,0.5,0.4,15.0,12.0,0.4,0.4,1
90,84.0,162,0.0,1.0,2008-006-007-01,,150,75,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25,1
91,85.0,162,0.0,1.0,2008-006-007-02,,80,85,nakladka,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35,1
92,86.0,162,0.0,1.0,2008-006-007-03,,70,130,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,26.0,13.0,0.25,0.35,1
93,87.0,162,0.0,1.0,2008-006-007-04,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,30.0,10.0,0.25,0.25,1
94,88.0,162,0.0,1.0,2008-006-007-06,,30,180,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,28.0,10.0,0.25,0.25,1
95,89.0,163,0.0,1.0,2008-008-001-01-5,,45,230,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,24.0,10.0,0.35,0.35,1
