order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens
127,182,0,1,2008-0028-005-04,,20,200,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",30,8
127,182,0,,2008-0028-005-04,,200,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",30,8
128,182,0,1,2008-0028-005-05,,50,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
128,182,0,,2008-0028-005-05,,80,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
128,182,0,,2008-0028-005-05,,40,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
128,182,0,,2008-0028-005-05,,20,20,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
129,182,0,1,2008-0028-005-06,,100,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,6","0,55",22,9
130,182,0,1,2008-0028-005-07,,60,20,n_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",12,6
131,182,0,1,2008-0028-005-08,,220,120,w_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,4","0,35",24,10
131,182,0,,2008-0028-005-08,,130,100,w_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,4","0,35",24,10
132,182,0,1,2008-0028-005-09,,150,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",28,9
132,182,0,,2008-0028-005-09,,150,80,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",28,9
132,182,0,,2008-0028-005-09,,60,55,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",28,9
132,182,0,,2008-0028-005-09,,70,60,m_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",28,9
132,182,0,,2008-0028-005-09,,50,50,m_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",28,9
133,182,0,1,2008-0028-005-10,,140,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
133,182,0,,2008-0028-005-10,,160,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
133,182,0,,2008-0028-005-10,,70,20,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",28,8
134,182,0,1,2008-0028-005-11,,940,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",30,12
135,182,0,1,2008-0028-005-12,,250,130,f_strip,0,mono,fragment,,linen,linen,no,no,S,S,medium,loose,,,,"0,4","0,5","0,45","0,3","0,6","0,45",20,8
136,182,0,1,2008-0028-005-13,,300,100,w_band,1,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,4","0,3","0,4","0,6","0,5",30,10
136,182,0,,2008-0028-005-13,,400,20,n_band,2,composite,fragment,,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,4",,"0,4","0,6",,30,10
137,182,0,1,2008-0028-005-14,,100,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",42,15
138,182,0,1,2008-0028-005-15,,150,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,4","0,6","0,5",20,8
,185,0,1,2008-0037-009-01,,180,300,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,"0,2","0,5",,"0,2","0,5",,9,7
,185,0,1,2008-0037-009-02,,640,38,n_band,0,mono,fragment,basket,linen,linen,no,no,,,medium,medium,,,,"0,4","0,5",,"0,4","0,5",,10,8
139,185,0,1,2008-0037-009-03,,100,50,m_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,uneven,,,,"0,3","0,5",,"0,5","0,6","0,55",28,14
140,185,0,1,2008-0037-009-04,,120,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,5",,"0,5","0,8",,42,7
141,185,0,1,2008-0037-009-05,,200,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,3","0,5","0,4",32,10
142,189,0,0,2008-0060-001-01,,160,90,funeral_shroud,1,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,"0,3","0,4","0,35","0,4","0,5","0,45",18,10
142,189,0,,2008-0060-001-01,,120,80,funeral_shroud,2,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,"0,3","0,4","0,35","0,4","0,5","0,45",18,10
142,189,0,,2008-0060-001-01,,110,100,funeral_shroud,3,composite,fragment,,linen,linen,no,no,S,S,uneven,medium,,,,"0,3","0,4","0,35","0,4","0,5","0,45",18,10
143,189,0,0,2008-0060-001-02,,320,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,4","0,6","0,5","0,4","0,8","0,6",14,10
144,189,0,0,2008-0060-001-03,,75,35,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,9","0,7","0,5","0,9","0,7",10,8
144,189,0,,2008-0060-001-03,,120,35,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,9","0,7","0,5","0,9","0,7",10,8
144,189,0,,2008-0060-001-03,,25,35,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,9","0,7","0,5","0,9","0,7",10,8
145,189,0,0,2008-0060-001-04,,100,15,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,7",1,"0,85","0,5","0,8","0,65",14,8
145,189,0,,2008-0060-001-04,,100,15,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,7",1,"0,85","0,5","0,8","0,65",14,8
,189,0,0,2008-0061-001-02,,320,20,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,"0,4","0,6",,"0,4","0,8",,14,10
,189,0,0,2008-0061-001-03,,75,35,n_band,1,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,"0,5","0,9",,"0,5","0,9",,10,8
,189,0,0,2008-0061-001-03,,120,35,n_band,2,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,"0,5","0,9",,"0,5","0,9",,10,8
,189,0,0,2008-0061-001-03,,25,35,n_band,3,composite,fragment,,linen,linen,,,S,S,medium,medium,,,,"0,5","0,9",,"0,5","0,9",,10,8
,189,0,0,2008-0061-001-04,,10,15,n_band,1,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,"0,7",1,,"0,5","0,8",,14,8
,189,0,0,2008-0061-001-04,,10,15,n_band,2,composite,fragment,,linen,linen,,,S,S,loose,medium,,,,"0,7",1,,"0,5","0,8",,14,8
146,191,0,1,2008-0040-004,,220,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,2","0,4","0,3",32,12
147,191,0,1,2008-0040-005,,150,70,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,3","0,6","0,45","0,3","0,6","0,45",16,12
148,191,0,1,2008-0040-007,,180,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,8","0,65",16,8
,191,0,1,2008-0040-008,,220,200,funeral_shroud,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5",,"0,4","0,5",,15,10
149,193,0,0,2008-0058-001-01,,55,15,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,"0,5","0,8","0,65","0,5","0,8","0,65",10,8
150,193,0,0,2008-0058-001-02,,30,40,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",14,14
151,196-197,0,1,2008-0049-001-01,,40,190,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4","0,35","0,4","0,5","0,45",16,9
152,196-197,0,1,2008-0049-001-02,,70,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,8","0,55",28,10
153,196-197,0,1,2008-0049-001-03,,50,50,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,8","0,55",28,10
154,196,3,0,2008-0070-003-02,,90,90,filling,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4","0,35","0,3","0,4","0,35",30,12
155,196,3,0,2008-0070-003-03,,110,20,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",26,12
156,196,3,0,2008-0070-003-04,,200,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",40,20
157,196,3,0,2008-0070-003-05,,150,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,3","0,5","0,4","0,4","0,5","0,45",32,8
,196,3,0,2008-0070-003-06,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6",,"0,5","0,6",,10,10
,196,3,0,2008-0070-003-07,,200,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,6",,"0,2","0,6",,14,7
158,196,3,0,2008-0070-003-08,,160,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,3","0,5","0,4","0,4","0,6","0,5",26,9
159,196,3,0,2008-0070-003-09,,240,150,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,5","0,4",22,8
160,196,3,0,2008-0070-003-10,,220,105,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,5","0,45",30,9
161,196,3,0,2008-0070-003-11,,300,130,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,3","0,4","0,35",24,12
162,196,3,0,2008-0070-003-12,,220,150,textile,1,composite,fragment,basket_weave,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,2","0,5","0,35",24,10
162,196,3,0,2008-0070-003-12,,10,100,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8",0,"0,5","0,8",0,,
162,196,3,0,2008-0070-003-12,,30,50,patch_fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5",,"0,4","0,5",,18,8
,196,3,0,2008-0070-003-13,,70,110,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6",,"0,4","0,6",,17,9
163,196,3,0,2008-0070-003-14,,85,30,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",48,10
164,196,3,0,2008-0070-003-15,,200,40,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,2","0,5","0,35","0,4","0,6","0,5",32,8
165,196,3,0,2008-0070-003-16,,230,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",52,12
166,196,3,0,2008-0070-003-17,,120,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,4","0,7","0,55",24,9
167,196,3,0,2008-0070-003-18,,520,165,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,6","0,55","0,3","0,5","0,4",26,9
168,196,3,0,2008-0070-003-19,,100,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",32,10
169,196,3,0,2008-0070-003-20,,160,95,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,7","0,6","0,4","0,5","0,45",20,12
170,196,3,0,2008-0070-003-21,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,Z,Z,medium,medium,,,,"0,6","1,2","0,9","0,6","1,2","0,9",12,4
,196,3,0,2008-0070-003-22,,130,70,m_band,0,mono,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5",,"0,3","0,5",,12,10
171,196,3,0,2008-0070-003-23,,110,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,5","0,4",52,14
172,196,3,0,2008-0070-003-24,,80,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,5","0,45",24,10
173,196,3,0,2008-0070-003-25,,220,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,3","0,4","0,35",50,10
174,196,3,0,2008-0070-003-26,,145,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,4","0,3","0,3","0,4","0,35",32,14
,200,3,0,2008-0118-002,,140,35,n_band,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4",,"0,3","0,4",,10,7
,200,3,0,2008-0118-002,,100,35,n_band,2,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4",,"0,3","0,4",,10,7
,200,3,0,2008-0118-002,,50,35,n_band,3,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4",,"0,3","0,4",,10,7
,200,3,0,2008-0118-002,,150,35,n_band,4,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4",,"0,3","0,4",,10,7
175,200,0,1,2008-0118-003,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,5","0,35","0,4","0,6","0,5",26,10
,200,0,1,2008-0118-005,,180,40,textile,0,mono,fragment,half-basket,linen,linen,no,no,S,S,uneven,uneven,,,,"0,8","1,5",,"1,2",2,,4,3
176,200,0,1,2008-0118-006,,720,38,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,2","0,3","0,25","0,2","0,3","0,25",42,10
177,200,0,1,2008-0118-007,,106,35,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,4","0,5","0,45",30,10
178,200,0,1,2008-0118-008,,410,20,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,6","0,5",21,7
178,200,0,,2008-0118-008,,140,20,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,6","0,5",21,7
179,200,0,1,2008-0118-009,,230,60,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,6","0,5",32,10
179,200,0,,2008-0118-009,,140,60,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,6","0,5",32,10
180,200,0,1,2008-0118-010,,100,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,5","0,45",24,12
180,200,0,,2008-0118-010,,105,50,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,5","0,45",24,12
180,200,0,,2008-0118-010,,95,50,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,5","0,45",24,12
181,200,0,1,2008-0118-011,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,4","0,35","0,3","0,4","0,35",32,11
182,208,1,0,2008-0102-003-02,,180,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,3","0,6","0,45",1,"1,5","1,25",10,6
183,209,0,1,2008-0121-004-07,,40,15,textile,0,mono,fragment,tabby,linen,linen,red-brown,red-brown,S,S,medium,medium,,,,"0,4","0,8","0,6","0,4","1,2","0,8",12,6
184,211,1,0,2008-0134-001,,150,120,textile,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,4","0,5","0,45",22,10
184,211,1,,2008-0134-001,,200,180,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,4","0,5","0,45",22,10
185,211,1,0,2008-0134-001-01,,430,440,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",17,11
186,211,1,0,2008-0134-001-02,,600,30,n_band,1,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
186,211,1,,2008-0134-001-02,,640,30,n_band,2,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
186,211,1,,2008-0134-001-02,,720,30,n_band,3,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
186,211,1,,2008-0134-001-02,,440,20,n_band,4,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
186,211,1,,2008-0134-001-02,,450,20,n_band,5,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
186,211,1,,2008-0134-001-02,,700,30,n_band,6,composite,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,6","0,45",20,10
187,211,1,0,2008-0134-001-03,,480,90,funeral_shroud,0,mono,fragment,,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",18,12
188,211,1,0,2008-0134-001-04,,750,90,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,400,40,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,480,40,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,160,40,m_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,120,40,m_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,90,40,m_band,6,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
188,211,1,,2008-0134-001-04,,370,40,m_band,7,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,5","0,45","0,4","0,5","0,45",17,9
189,211,1,0,2008-0134-001-05,,940,70,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,5","0,8","0,65","0,8",1,"0,9",12,6
189,211,1,,2008-0134-001-05,,120,70,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,5","0,8","0,65","0,8",1,"0,9",12,6
189,211,1,,2008-0134-001-05,,130,70,m_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,"0,5","0,8","0,65","0,8",1,"0,9",12,6
190,211,1,0,2008-0134-001-06,,660,350,funeral_shroud,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,8",1,"0,9",14,10
190,211,1,,2008-0134-001-06,,640,290,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,8",1,"0,9",14,10
191,211,1,0,2008-0134-001-07,,400,400,textile,0,mono,intact,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",14,10
192,211,1,0,2008-0134-001-08,,480,200,f_strip,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,6","0,8","0,7",8,5
192,211,1,,2008-0134-001-08,,460,180,f_strip,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,6","0,8","0,7",8,5
193,211,1,0,2008-0134-001-09,,360,260,f_strip,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",14,10
194,211,1,0,2008-0134-001-10,,190,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,6","0,8","0,7",8,5
195,211,1,0,2008-0134-001-11,,400,400,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",14,10
196,211,1,0,2008-0134-001-12,,680,390,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,8","0,65",14,10
197,211,1,0,2008-0134-001-13,,350,140,f_strip,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,8","0,65",8,6
197,211,1,,2008-0134-001-13,,290,90,f_strip,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,8","0,65",8,6
198,211,1,0,2008-0134-001-14,,450,790,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,5","0,4","0,5","0,8","0,65",14,10
199,211,1,0,2008-0134-001-15,,320,240,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,8","0,6",8,5
199,211,1,,2008-0134-001-15,,320,390,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,8","0,6",8,5
200,211,1,0,2008-0134-001-16,,130,120,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,8","0,6",18,10
200,211,1,,2008-0134-001-16,,130,120,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,4","0,8","0,6",18,10
201,211,1,0,2008-0134-001-17,,860,320,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,5","0,8","0,65",18,11
202,211,1,0,2008-0134-001-18,,640,70,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6",,"0,5","0,8","0,65",8,5
202,211,1,0,2008-0134-001-18,,620,140,m_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6",,"0,5","0,8",,8,5
202,211,1,0,2008-0134-001-18,,660,40,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6",,"0,5","0,8",,8,5
203,211,1,0,2008-0134-001-19,,320,440,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,3","0,6","0,45","0,3","0,6","0,45",18,10
204,211,1,0,2008-0134-001-21,,460,260,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,4","0,6","0,5",14,12
205,211,1,0,2008-0134-001-22,,400,800,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,8","0,6","0,4","0,8","0,6",18,12
206,211,1,0,2008-0134-001-23,,400,900,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,5","0,8","0,65","0,6",1,"0,8",14,10
207,211,1,0,2008-0134-001-27,,450,200,f_strip,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,5","0,8","0,65",14,10
208,212,2,0,2008-0131-003-03,,120,30,n_band,0,mono,fragment,,linen,linen,no,no,S,S,uneven,uneven,,,,"0,3","0,5","0,4","0,4","0,6","0,5",15,12
209,212,2,0,2008-0142-002,,400,400,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,5","0,6","0,55",13,8
210,212,2,0,2008-0142-003,,400,600,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,5","0,6","0,55","0,5","0,6","0,55",13,9
211,212,2,0,2008-0142-004,,700,250,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,"0,4","0,6","0,5","0,3","0,5","0,4",22,18
212,212,2,0,2008-0142-005,,100,50,m_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,4","0,6","0,5",11,8
212,212,2,0,2008-0142-005,,100,10,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,4","0,6","0,5",11,8
212,212,2,0,2008-0142-005,,100,15,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,4","0,6","0,5",11,8
213,212,2,0,2008-0142-006,,220,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,8","0,6","0,4","0,8","0,6",8,6
214,212,2,0,2008-0142-007,,1300,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,4","0,6","0,5",10,7
215,212,2,0,2008-0142-008,,300,960,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,"0,4","0,6","0,5","0,4","0,6","0,5",12,8
