,warp_dens,weft_dens,warp_nominal,weft_nominal,classes
0,13.0,8.0,0.75,0.75,3
2,18.0,6.0,0.5,0.15,3
6,11.0,7.0,0.55,0.55,3
8,13.0,8.0,0.7,0.8,3
9,12.0,8.0,0.55,0.8,3
10,12.0,9.0,0.75,0.7,3
15,15.0,8.0,0.65,0.65,3
16,14.0,7.0,0.7,0.65,3
23,10.0,7.0,0.65,0.9,3
24,12.0,8.0,0.65,0.8,3
27,13.0,8.0,0.75,0.9,3
30,12.0,8.0,0.55,0.55,3
32,12.0,10.0,0.7,0.8,3
46,18.0,9.0,0.55,0.65,3
49,18.0,7.0,0.5,0.65,3
52,24.0,8.0,0.5,0.5,3
59,16.0,8.0,0.55,0.6,3
60,16.0,8.0,0.55,0.6,3
64,17.0,7.0,0.5,0.5,3
67,18.0,9.0,0.55,0.7,3
75,10.0,8.0,0.45,0.45,3
83,12.0,8.0,0.4,0.6,3
90,10.0,7.0,0.55,0.55,3
103,12.0,10.0,0.7,0.7,3
105,12.0,10.0,0.7,0.7,3
113,14.0,4.0,0.7,0.5,3
114,14.0,4.0,0.7,0.5,3
118,16.0,7.0,0.5,0.5,3
119,16.0,7.0,0.5,0.5,3
120,16.0,7.0,0.5,0.55,3
121,16.0,7.0,0.5,0.55,3
125,13.0,8.0,0.65,0.5,3
126,10.0,8.0,0.25,0.25,3
140,12.0,6.0,0.5,0.5,3
157,9.0,7.0,0.35,0.35,3
158,10.0,8.0,0.45,0.45,3
166,10.0,8.0,0.7,0.7,3
167,10.0,8.0,0.7,0.7,3
168,10.0,8.0,0.7,0.7,3
169,14.0,8.0,0.85,0.65,3
170,14.0,8.0,0.85,0.65,3
172,10.0,8.0,0.7,0.7,3
173,10.0,8.0,0.7,0.7,3
174,10.0,8.0,0.7,0.7,3
175,14.0,8.0,0.85,0.65,3
176,14.0,8.0,0.85,0.65,3
179,16.0,8.0,0.5,0.65,3
181,10.0,8.0,0.65,0.65,3
189,10.0,10.0,0.55,0.55,3
209,10.0,7.0,0.35,0.35,3
210,10.0,7.0,0.35,0.35,3
211,10.0,7.0,0.35,0.35,3
212,10.0,7.0,0.35,0.35,3
224,12.0,6.0,0.6,0.8,3
242,12.0,6.0,0.65,0.9,3
243,12.0,6.0,0.65,0.9,3
244,12.0,6.0,0.65,0.9,3
248,8.0,5.0,0.5,0.7,3
249,8.0,5.0,0.5,0.7,3
251,8.0,5.0,0.5,0.7,3
254,8.0,6.0,0.5,0.65,3
255,8.0,6.0,0.5,0.65,3
257,8.0,5.0,0.45,0.6,3
258,8.0,5.0,0.45,0.6,3
262,8.0,5.0,0.5,0.65,3
263,8.0,5.0,0.5,0.65,3
264,8.0,5.0,0.5,0.65,3
271,13.0,8.0,0.55,0.55,3
272,13.0,9.0,0.55,0.55,3
273,11.0,8.0,0.5,0.5,3
274,11.0,8.0,0.5,0.5,3
275,11.0,8.0,0.5,0.5,3
276,8.0,6.0,0.6,0.6,3
277,10.0,7.0,0.5,0.5,3
278,12.0,8.0,0.5,0.5,3
